source,target,similarity
171,172,0.5584453344345093
171,76,0.5118549466133118
171,370,0.5084488391876221
171,579,0.47506123781204224
171,184,0.4748260974884033
172,171,0.5584453344345093
172,201,0.5273730754852295
172,370,0.5090118646621704
172,76,0.4627399146556854
172,206,0.4612399935722351
173,176,0.48904603719711304
173,187,0.48436540365219116
173,175,0.47084134817123413
173,217,0.4634878933429718
173,69,0.4610840976238251
174,175,0.5896310210227966
174,176,0.4812166690826416
174,172,0.44362354278564453
174,173,0.441708505153656
174,192,0.41417011618614197
175,174,0.5896310210227966
175,176,0.5545502305030823
175,187,0.4765979051589966
175,173,0.47084134817123413
175,217,0.4482453167438507
176,177,0.6319565773010254
176,175,0.5545502305030823
176,173,0.48904603719711304
176,174,0.4812166690826416
176,178,0.47429555654525757
177,176,0.6319565773010254
177,178,0.5960693955421448
177,179,0.4872117042541504
177,216,0.48168203234672546
177,494,0.4708312749862671
178,177,0.5960693955421448
178,179,0.4744075536727905
178,176,0.47429555654525757
178,659,0.4625318646430969
178,180,0.4350649416446686
179,181,0.6707687973976135
179,180,0.5284311771392822
179,216,0.4908190071582794
179,177,0.4872117042541504
179,178,0.4744075536727905
180,179,0.5284311771392822
180,181,0.4942384362220764
180,176,0.4520207345485687
180,178,0.4350649416446686
180,217,0.41041141748428345
181,179,0.6707687973976135
181,216,0.5204671621322632
181,180,0.4942384362220764
181,182,0.48603054881095886
181,218,0.4785255193710327
182,726,0.5339755415916443
182,183,0.5195534825325012
182,584,0.5159034729003906
182,725,0.4870416224002838
182,181,0.48603054881095886
183,182,0.5195534825325012
183,184,0.45604270696640015
183,727,0.4190796911716461
183,129,0.4167156219482422
183,726,0.40712711215019226
184,187,0.5263731479644775
184,500,0.5002051591873169
184,216,0.4985453486442566
184,437,0.4982115924358368
184,185,0.49641817808151245
185,218,0.4980999827384949
185,184,0.49641817808151245
185,187,0.45702308416366577
185,577,0.4406795799732208
185,216,0.4369015097618103
186,188,0.5211456418037415
186,216,0.4965982139110565
186,585,0.4918275475502014
186,504,0.4836546778678894
186,187,0.48090165853500366
187,188,0.5686819553375244
187,184,0.5263731479644775
187,216,0.5198461413383484
187,189,0.4948255717754364
187,218,0.49188584089279175
188,187,0.5686819553375244
188,189,0.5570383071899414
188,186,0.5211456418037415
188,216,0.5174465775489807
188,218,0.5050315260887146
189,218,0.6087222695350647
189,519,0.565730094909668
189,188,0.5570383071899414
189,220,0.5445431470870972
189,192,0.5411200523376465
190,518,0.48246634006500244
190,198,0.47650012373924255
190,187,0.46643856167793274
190,192,0.45574474334716797
190,193,0.4533478617668152
191,193,0.5546614527702332
191,517,0.5330407023429871
191,192,0.506868839263916
191,518,0.4978823661804199
191,189,0.45568493008613586
192,517,0.6434515714645386
192,194,0.5775371789932251
192,195,0.5708368420600891
192,193,0.5618367195129395
192,519,0.5577991604804993
193,192,0.5618367195129395
193,191,0.5546614527702332
193,517,0.5386925339698792
193,518,0.5163587331771851
193,194,0.4978516697883606
194,518,0.6006437540054321
194,192,0.5775371789932251
194,517,0.5548939108848572
194,195,0.5048630237579346
194,494,0.5021416544914246
195,192,0.5708368420600891
195,194,0.5048630237579346
195,193,0.48895618319511414
195,191,0.4383833110332489
195,727,0.43680131435394287
196,519,0.53432697057724
196,192,0.5141153335571289
196,198,0.5110394358634949
196,197,0.48740094900131226
196,518,0.46971985697746277
197,198,0.621683657169342
197,519,0.4935779869556427
197,196,0.48740094900131226
197,199,0.43560898303985596
197,172,0.41834303736686707
198,197,0.621683657169342
198,199,0.5806775093078613
198,519,0.5585938692092896
198,518,0.5118700265884399
198,196,0.5110394358634949
199,198,0.5806775093078613
199,519,0.5593270063400269
199,520,0.5399993658065796
199,219,0.5120454430580139
199,524,0.4981655478477478
200,201,0.5761849880218506
200,202,0.5330316424369812
200,189,0.48497578501701355
200,218,0.4769929051399231
200,198,0.47510600090026855
201,202,0.5867217183113098
201,200,0.5761849880218506
201,172,0.5273730754852295
201,189,0.49050793051719666
201,203,0.48424476385116577
202,201,0.5867217183113098
202,509,0.5433545112609863
202,200,0.5330316424369812
202,203,0.5260400772094727
202,220,0.48573577404022217
203,202,0.5260400772094727
203,201,0.48424476385116577
203,205,0.4752016067504883
203,193,0.4211723506450653
203,509,0.41870468854904175
204,583,0.4385097324848175
204,494,0.4374396502971649
204,500,0.4353344738483429
204,189,0.423839271068573
204,584,0.4197677671909332
205,189,0.4766727685928345
205,203,0.4752016067504883
205,217,0.4635676443576813
205,209,0.4573097229003906
205,169,0.45365291833877563
206,105,0.5153459906578064
206,169,0.504892885684967
206,172,0.4612399935722351
206,47,0.45297861099243164
206,104,0.4355860650539398
207,107,0.6166678667068481
207,104,0.585631251335144
207,110,0.5787963271141052
207,105,0.5410110950469971
207,108,0.5274718403816223
208,110,0.6047797203063965
208,108,0.4872788190841675
208,207,0.46384307742118835
208,109,0.46057507395744324
208,209,0.4604942202568054
209,491,0.5903574228286743
209,219,0.4922271966934204
209,492,0.4672161638736725
209,208,0.4604942202568054
209,527,0.45921382308006287
210,220,0.4663938879966736
210,490,0.45729437470436096
210,493,0.44741711020469666
210,209,0.4397239685058594
210,215,0.43277233839035034
211,209,0.4294309914112091
211,217,0.42406728863716125
211,213,0.4167916476726532
211,210,0.4041595160961151
211,214,0.39825698733329773
212,213,0.6094301342964172
212,440,0.40750494599342346
212,129,0.3889293670654297
212,214,0.383914977312088
212,211,0.38150376081466675
213,212,0.6094301342964172
213,215,0.4930528402328491
213,214,0.4610263705253601
213,217,0.43306073546409607
213,211,0.4167916476726532
214,213,0.4610263705253601
214,490,0.45567256212234497
214,208,0.4548671841621399
214,491,0.4464940130710602
214,210,0.4316583573818207
215,217,0.5070703625679016
215,213,0.4930528402328491
215,507,0.48918870091438293
215,509,0.46456241607666016
